estado,fase,visitas,d_pi,H_pi_nats,H_pi_norm,action_gap,ventaja_media
c=M dc=0 h=M dh=+ L=B dL=- preo=B,calma,2917,0.000027,0.6129,0.1395,2.80967,11.36388
c=B dc=- h=M dh=0 L=A dL=0 preo=B,calma,2901,0.000164,1.2800,0.2913,1.83604,11.19252
c=A dc=+ h=B dh=0 L=B dL=+ preo=B,emergencia,2879,0.000000,1.7776,0.4045,1.16064,9.11261
c=M dc=- h=A dh=0 L=A dL=- preo=A,emergencia,2856,0.000000,3.9737,0.9043,0.74566,2.49074
c=M dc=- h=B dh=- L=A dL=0 preo=B,calma,2845,0.000027,1.3925,0.3169,1.87530,10.89051
c=M dc=0 h=B dh=+ L=B dL=- preo=B,calma,2800,0.000000,0.6706,0.1526,3.07993,11.22818
c=B dc=- h=M dh=- L=A dL=+ preo=A,calma,2786,0.000137,1.6144,0.3674,1.48336,8.70356
c=B dc=+ h=M dh=+ L=A dL=+ preo=B,prop_lenta,2774,0.000082,1.0946,0.2491,2.10849,10.74314
c=M dc=0 h=B dh=+ L=M dL=- preo=B,calma,2770,0.000000,0.2683,0.0611,4.08786,12.90078
c=B dc=- h=A dh=0 L=B dL=- preo=A,emergencia,2723,0.000110,3.8643,0.8794,0.29021,2.50783
c=M dc=+ h=A dh=- L=B dL=- preo=A,emergencia,2706,0.000055,3.2437,0.7381,1.31015,4.03657
c=B dc=- h=B dh=0 L=B dL=- preo=B,calma,2654,0.000000,0.4192,0.0954,3.08555,12.93960
c=B dc=+ h=M dh=0 L=M dL=+ preo=B,prop_lenta,2652,0.000055,0.9140,0.2080,2.79522,11.55817
c=B dc=+ h=A dh=- L=M dL=0 preo=A,emergencia,2645,0.000000,3.4884,0.7938,0.11201,3.06078
c=B dc=+ h=B dh=- L=M dL=0 preo=B,prop_lenta,2642,0.000055,0.7158,0.1629,1.46364,11.62518
c=A dc=- h=A dh=+ L=A dL=0 preo=M,emergencia,2632,0.000247,4.3329,0.9860,0.30949,1.08686
c=B dc=- h=B dh=0 L=A dL=+ preo=M,calma,2616,0.000274,1.0746,0.2445,2.18818,10.88386
c=B dc=+ h=B dh=+ L=A dL=+ preo=B,prop_lenta,2608,0.000000,0.3157,0.0718,4.26035,11.75079
c=M dc=0 h=M dh=+ L=A dL=+ preo=B,calma,2606,0.000000,0.9119,0.2075,1.28156,10.72748
c=B dc=- h=M dh=- L=M dL=0 preo=M,calma,2601,0.000219,0.2990,0.0680,3.68669,12.13333
c=M dc=- h=A dh=- L=A dL=+ preo=A,emergencia,2600,0.000000,3.9461,0.8980,0.39774,2.40167
c=B dc=- h=B dh=+ L=A dL=+ preo=A,calma,2595,0.000575,2.3028,0.5240,0.70752,6.19559
c=B dc=- h=M dh=- L=A dL=0 preo=M,calma,2593,0.000219,0.8090,0.1841,1.61949,11.89246
c=M dc=0 h=M dh=0 L=M dL=+ preo=B,calma,2585,0.000027,0.1984,0.0451,4.45653,12.41546
c=M dc=- h=M dh=0 L=M dL=+ preo=B,calma,2580,0.000000,0.5102,0.1161,2.23041,12.26898
c=A dc=- h=B dh=+ L=A dL=- preo=B,emergencia,2533,0.000000,0.9552,0.2174,2.50474,10.80983
c=A dc=+ h=M dh=0 L=B dL=- preo=M,emergencia,2528,0.000000,0.8040,0.1830,2.67492,8.88213
c=B dc=0 h=B dh=- L=A dL=- preo=B,calma,2527,0.000000,1.0850,0.2469,2.34851,11.67604
c=B dc=- h=M dh=- L=A dL=0 preo=B,calma,2525,0.000137,0.5705,0.1298,2.17728,13.18007
c=B dc=- h=A dh=+ L=M dL=+ preo=B,emergencia,2514,0.000082,1.2717,0.2894,2.41474,10.18530
c=M dc=- h=B dh=0 L=M dL=+ preo=B,calma,2491,0.000000,1.2853,0.2925,2.18497,10.13924
c=B dc=+ h=B dh=+ L=B dL=- preo=A,prop_lenta,2442,0.000247,2.2577,0.5138,0.47761,6.34409
c=B dc=+ h=A dh=+ L=B dL=- preo=A,emergencia,2430,0.000082,3.6615,0.8332,0.67670,3.14547
c=A dc=0 h=A dh=0 L=A dL=+ preo=B,emergencia,2372,0.000000,4.2228,0.9609,0.23412,1.67392
c=M dc=- h=B dh=+ L=A dL=- preo=B,calma,2356,0.000000,0.6275,0.1428,2.76561,11.99562
c=A dc=- h=A dh=- L=A dL=+ preo=A,emergencia,2336,0.000000,4.2321,0.9630,0.64663,1.86576
c=B dc=0 h=A dh=- L=M dL=+ preo=A,emergencia,2325,0.000027,3.2771,0.7457,0.82504,3.95043
c=M dc=+ h=B dh=- L=A dL=+ preo=B,prop_rapida,2300,0.000000,0.7599,0.1729,2.18987,11.79793
c=A dc=0 h=A dh=0 L=M dL=+ preo=A,emergencia,2267,0.000000,4.3141,0.9817,0.22958,1.12653
c=B dc=- h=A dh=0 L=A dL=+ preo=B,emergencia,2246,0.000110,1.3823,0.3146,1.58476,10.07217
c=B dc=0 h=M dh=0 L=M dL=0 preo=B,calma,2245,0.000082,0.2731,0.0621,3.41685,14.05945
c=B dc=0 h=B dh=+ L=A dL=- preo=B,calma,2244,0.000000,0.8373,0.1905,2.32581,13.06391
c=B dc=- h=M dh=+ L=A dL=0 preo=M,calma,2243,0.000192,0.4368,0.0994,3.66887,11.33612
c=B dc=0 h=A dh=0 L=M dL=- preo=A,emergencia,2242,0.000027,3.6928,0.8403,0.65024,3.06098
c=B dc=+ h=M dh=- L=A dL=+ preo=M,prop_lenta,2205,0.000082,1.0355,0.2356,1.65851,10.00677
c=A dc=- h=B dh=- L=A dL=+ preo=M,emergencia,2189,0.000000,0.5968,0.1358,3.36605,9.51538
c=B dc=0 h=M dh=- L=M dL=0 preo=M,calma,2177,0.000082,0.3341,0.0760,4.04029,12.39182
c=A dc=- h=B dh=- L=A dL=+ preo=B,emergencia,2145,0.000000,0.1835,0.0418,4.18185,12.19691
c=B dc=0 h=B dh=- L=M dL=- preo=M,calma,2134,0.000110,1.1571,0.2633,0.90269,11.85192
c=M dc=+ h=B dh=+ L=B dL=- preo=A,prop_rapida,2126,0.000630,2.3172,0.5273,0.84814,5.65205
c=A dc=- h=B dh=+ L=A dL=+ preo=M,emergencia,2116,0.000219,2.7931,0.6356,0.69083,5.47808
c=M dc=+ h=B dh=- L=B dL=0 preo=B,prop_rapida,2103,0.000000,0.1643,0.0374,4.04366,13.46166
c=B dc=- h=M dh=0 L=B dL=- preo=B,calma,2098,0.000027,0.1698,0.0386,3.80241,14.11826
c=M dc=- h=M dh=+ L=M dL=- preo=M,calma,2094,0.000027,1.3857,0.3153,1.63640,9.18827
c=M dc=0 h=B dh=+ L=B dL=+ preo=B,calma,2089,0.000000,0.4667,0.1062,3.60244,11.68073
c=M dc=0 h=M dh=+ L=M dL=- preo=B,calma,2086,0.000000,0.4752,0.1081,3.05174,12.90993
c=M dc=+ h=M dh=0 L=M dL=+ preo=B,prop_rapida,2076,0.000027,0.2816,0.0641,4.04192,12.05590
c=A dc=+ h=A dh=+ L=B dL=- preo=A,emergencia,2063,0.000137,4.2160,0.9594,0.08258,1.89691
c=B dc=0 h=A dh=+ L=M dL=- preo=M,emergencia,1998,0.000110,1.2517,0.2848,2.15504,8.52656
c=B dc=0 h=B dh=+ L=M dL=0 preo=B,calma,1990,0.000027,0.2290,0.0521,4.31121,14.27675
c=M dc=- h=B dh=0 L=A dL=0 preo=B,calma,1976,0.000055,0.4117,0.0937,2.86282,12.71362
c=B dc=0 h=A dh=- L=B dL=- preo=M,emergencia,1956,0.000219,1.3128,0.2987,2.15395,9.16486
c=A dc=+ h=B dh=+ L=B dL=- preo=M,emergencia,1926,0.000247,1.2815,0.2916,2.47190,7.51385
c=A dc=+ h=A dh=+ L=B dL=- preo=B,emergencia,1912,0.000027,4.0587,0.9236,1.71616,2.73932
c=B dc=+ h=M dh=0 L=A dL=+ preo=B,prop_lenta,1902,0.000082,0.9685,0.2204,1.63330,11.48871
c=B dc=0 h=A dh=- L=A dL=0 preo=A,emergencia,1884,0.000000,3.0221,0.6877,2.24151,4.37094
c=A dc=- h=M dh=+ L=A dL=+ preo=M,emergencia,1869,0.000164,2.1505,0.4894,0.76343,6.63824
c=M dc=+ h=M dh=- L=B dL=+ preo=B,prop_rapida,1858,0.000000,0.4243,0.0965,3.90985,12.05778
c=B dc=- h=M dh=- L=M dL=+ preo=M,calma,1858,0.000137,1.0161,0.2312,2.05383,10.13207
c=M dc=- h=B dh=+ L=A dL=+ preo=A,calma,1846,0.000767,2.9155,0.6635,0.43499,4.55545
c=B dc=+ h=B dh=+ L=B dL=0 preo=B,prop_lenta,1839,0.000000,0.2836,0.0645,4.22050,12.31250
c=M dc=- h=M dh=- L=M dL=- preo=M,calma,1833,0.000000,0.5792,0.1318,2.90139,9.96456
c=A dc=- h=B dh=+ L=M dL=+ preo=B,emergencia,1824,0.000000,0.4560,0.1038,3.42742,11.06182
c=B dc=+ h=A dh=- L=M dL=+ preo=A,emergencia,1815,0.000055,2.8773,0.6548,1.76804,4.56090
c=B dc=0 h=A dh=+ L=B dL=- preo=A,emergencia,1805,0.000164,3.7973,0.8641,0.78966,2.99438
c=M dc=0 h=M dh=- L=B dL=- preo=B,calma,1798,0.000027,0.1845,0.0420,4.83635,12.11815
c=B dc=- h=B dh=- L=M dL=+ preo=M,calma,1791,0.000000,0.1021,0.0232,5.57454,13.14519
c=B dc=+ h=A dh=+ L=M dL=- preo=A,emergencia,1788,0.000164,3.8975,0.8869,1.20531,2.83242
c=A dc=0 h=A dh=0 L=M dL=+ preo=B,emergencia,1773,0.000000,4.3081,0.9804,0.88113,1.64297
c=M dc=+ h=A dh=+ L=B dL=- preo=M,emergencia,1746,0.000055,1.4768,0.3361,0.71955,7.68661
c=M dc=0 h=B dh=0 L=B dL=- preo=B,calma,1736,0.000000,0.3794,0.0863,4.21264,12.91670
c=A dc=0 h=B dh=0 L=B dL=- preo=A,emergencia,1693,0.000000,4.1634,0.9474,0.39858,2.00842
c=B dc=+ h=A dh=- L=M dL=- preo=B,emergencia,1689,0.000055,1.0541,0.2399,1.41347,10.44211
c=M dc=- h=B dh=- L=M dL=- preo=B,calma,1675,0.000000,0.2404,0.0547,3.96453,13.96389
c=B dc=- h=B dh=- L=A dL=0 preo=M,calma,1671,0.000110,0.3323,0.0756,3.33700,12.32494
c=M dc=+ h=B dh=+ L=B dL=- preo=M,prop_rapida,1670,0.000219,0.2340,0.0532,3.43905,11.70435
c=B dc=+ h=M dh=+ L=M dL=0 preo=B,prop_lenta,1669,0.000000,0.2435,0.0554,3.96118,12.04840
c=A dc=0 h=A dh=0 L=M dL=- preo=A,emergencia,1665,0.000000,4.3078,0.9803,0.43366,1.46329
c=B dc=0 h=A dh=0 L=A dL=+ preo=A,emergencia,1655,0.000055,3.2804,0.7465,1.18125,3.98657
c=A dc=- h=A dh=+ L=M dL=+ preo=A,emergencia,1624,0.000000,4.3384,0.9873,0.96964,1.59077
c=B dc=+ h=M dh=+ L=B dL=- preo=M,prop_lenta,1612,0.000055,0.6780,0.1543,3.28023,10.13452
c=B dc=0 h=B dh=- L=B dL=+ preo=B,calma,1594,0.000027,0.5490,0.1249,2.50018,13.75735
c=A dc=- h=A dh=+ L=M dL=- preo=A,emergencia,1572,0.000000,4.3199,0.9830,1.05924,1.65520
c=M dc=- h=A dh=+ L=A dL=+ preo=M,emergencia,1565,0.000055,2.4025,0.5467,0.81969,5.82110
c=A dc=- h=A dh=+ L=B dL=- preo=A,emergencia,1556,0.000027,4.3045,0.9795,1.11095,1.79151
c=M dc=0 h=M dh=0 L=B dL=- preo=B,calma,1551,0.000000,0.2597,0.0591,3.70960,12.01090
c=M dc=0 h=B dh=0 L=M dL=- preo=B,calma,1549,0.000027,0.0715,0.0163,5.87954,14.25797
c=M dc=+ h=B dh=+ L=A dL=+ preo=B,prop_rapida,1549,0.000000,0.0545,0.0124,5.94559,13.86857
c=M dc=0 h=M dh=- L=A dL=+ preo=B,calma,1545,0.000027,0.0974,0.0222,4.86524,13.86934
c=B dc=+ h=A dh=0 L=B dL=- preo=B,emergencia,1536,0.000000,0.8446,0.1922,1.89882,11.45966
c=M dc=- h=B dh=+ L=M dL=- preo=B,calma,1531,0.000000,0.0652,0.0148,6.85789,13.19072
c=A dc=0 h=B dh=0 L=B dL=- preo=B,emergencia,1530,0.000000,1.4699,0.3345,2.20223,8.91968
c=B dc=0 h=A dh=- L=A dL=+ preo=B,emergencia,1529,0.000027,0.7111,0.1618,2.36277,10.93693
c=A dc=+ h=B dh=- L=M dL=+ preo=B,emergencia,1519,0.000000,0.5939,0.1351,2.42027,10.73365
c=A dc=- h=M dh=+ L=A dL=+ preo=B,emergencia,1502,0.000164,3.6731,0.8359,0.95530,3.24815
c=B dc=+ h=B dh=0 L=A dL=+ preo=B,prop_lenta,1499,0.000000,0.1075,0.0245,4.50324,13.57135
c=B dc=+ h=M dh=0 L=B dL=- preo=M,prop_lenta,1487,0.000027,0.4538,0.1033,2.13487,11.34575
c=A dc=+ h=A dh=- L=B dL=- preo=A,emergencia,1480,0.000000,4.2616,0.9698,1.19453,2.13122
c=M dc=+ h=B dh=+ L=B dL=0 preo=B,prop_rapida,1471,0.000027,0.7016,0.1597,1.42802,12.32851
c=M dc=+ h=M dh=- L=M dL=- preo=B,prop_rapida,1434,0.000000,0.1545,0.0352,4.79705,12.78563
c=A dc=+ h=M dh=+ L=B dL=+ preo=B,emergencia,1428,0.000082,0.1377,0.0313,4.63368,12.12208
c=M dc=- h=B dh=- L=A dL=- preo=B,calma,1428,0.000000,0.5947,0.1353,2.65336,12.73001
c=A dc=+ h=B dh=+ L=M dL=+ preo=B,emergencia,1427,0.000000,0.4332,0.0986,3.65043,12.65693
c=B dc=+ h=B dh=+ L=B dL=+ preo=B,prop_lenta,1407,0.000000,0.5797,0.1319,2.13740,12.19280
c=A dc=- h=M dh=+ L=A dL=+ preo=A,emergencia,1382,0.000219,4.3596,0.9921,0.18903,0.96266
c=B dc=0 h=B dh=0 L=M dL=0 preo=B,calma,1367,0.000000,0.0954,0.0217,5.07024,14.73628
c=B dc=0 h=A dh=- L=M dL=- preo=B,emergencia,1360,0.000027,0.9899,0.2253,2.41800,10.43244
c=B dc=+ h=M dh=- L=M dL=0 preo=M,prop_lenta,1357,0.000082,0.2421,0.0551,4.26542,11.72442
c=M dc=+ h=M dh=0 L=B dL=+ preo=B,prop_rapida,1349,0.000000,0.3682,0.0838,3.22832,11.28255
c=B dc=+ h=B dh=- L=B dL=0 preo=M,prop_lenta,1347,0.000027,1.1151,0.2538,0.98816,10.80110
c=B dc=- h=M dh=- L=A dL=- preo=M,calma,1338,0.000110,0.1155,0.0263,5.30138,12.84382
c=M dc=+ h=M dh=- L=M dL=- preo=M,prop_rapida,1325,0.000082,1.1100,0.2526,2.41190,8.96359
c=B dc=0 h=M dh=+ L=A dL=- preo=B,calma,1324,0.000000,0.2596,0.0591,3.61397,14.66385
c=M dc=0 h=B dh=0 L=B dL=+ preo=B,calma,1311,0.000000,0.1143,0.0260,5.64752,12.70174
c=A dc=- h=A dh=+ L=A dL=- preo=M,emergencia,1309,0.000027,4.3683,0.9941,0.41199,0.93728
c=M dc=+ h=A dh=+ L=B dL=- preo=A,emergencia,1288,0.000192,3.9526,0.8995,0.76666,2.57010
c=B dc=+ h=A dh=+ L=M dL=- preo=M,emergencia,1287,0.000082,0.8562,0.1948,2.31736,9.12896
c=B dc=0 h=A dh=0 L=M dL=- preo=M,emergencia,1286,0.000082,0.2895,0.0659,3.32882,10.62395
c=A dc=0 h=B dh=0 L=A dL=+ preo=B,emergencia,1280,0.000000,0.3977,0.0905,3.42795,10.97379
c=M dc=+ h=M dh=+ L=A dL=+ preo=B,prop_rapida,1262,0.000000,0.2424,0.0552,3.34263,12.82151
c=B dc=0 h=B dh=0 L=A dL=- preo=B,calma,1247,0.000000,0.1951,0.0444,4.26118,14.84072
c=B dc=+ h=M dh=- L=B dL=0 preo=M,prop_lenta,1244,0.000027,0.8067,0.1836,1.73690,10.54238
c=M dc=+ h=M dh=0 L=M dL=- preo=B,prop_rapida,1231,0.000000,0.0206,0.0047,7.86827,14.28531
c=M dc=0 h=M dh=0 L=A dL=+ preo=B,calma,1226,0.000000,0.3973,0.0904,2.78752,11.87402
c=A dc=0 h=B dh=0 L=M dL=+ preo=B,emergencia,1215,0.000000,0.5811,0.1322,3.03123,10.22978
c=A dc=0 h=A dh=0 L=M dL=- preo=B,emergencia,1206,0.000000,4.3459,0.9890,0.46107,1.27932
c=A dc=0 h=B dh=0 L=A dL=+ preo=A,emergencia,1204,0.000000,4.2294,0.9624,0.93125,2.04829
c=M dc=- h=M dh=0 L=M dL=- preo=M,calma,1194,0.000000,1.0055,0.2288,1.68099,9.48849
c=B dc=+ h=M dh=- L=B dL=0 preo=B,prop_lenta,1192,0.000027,0.0577,0.0131,7.09495,13.28262
c=B dc=+ h=M dh=0 L=M dL=0 preo=B,prop_lenta,1179,0.000055,0.2740,0.0624,2.71540,13.06505
c=B dc=- h=A dh=0 L=M dL=- preo=M,emergencia,1178,0.000000,0.8196,0.1865,1.76294,9.36952
c=A dc=- h=A dh=+ L=M dL=- preo=B,emergencia,1177,0.000082,4.0262,0.9162,1.65209,2.81809
c=B dc=- h=M dh=0 L=A dL=0 preo=M,calma,1174,0.000082,0.5392,0.1227,2.17112,13.16608
c=B dc=- h=M dh=- L=B dL=- preo=M,calma,1161,0.000027,0.5031,0.1145,2.89359,11.29029
c=B dc=+ h=B dh=- L=M dL=- preo=M,prop_lenta,1154,0.000055,0.1314,0.0299,4.81272,12.56778
c=A dc=- h=B dh=0 L=A dL=+ preo=B,emergencia,1150,0.000027,0.2330,0.0530,4.63476,11.52780
c=B dc=- h=M dh=+ L=A dL=- preo=M,calma,1139,0.000137,1.2523,0.2850,0.44138,12.24687
c=B dc=0 h=B dh=0 L=B dL=- preo=A,calma,1124,0.000000,0.7438,0.1692,2.70971,8.39973
c=M dc=0 h=M dh=+ L=B dL=- preo=M,calma,1114,0.000027,0.1039,0.0236,5.40938,11.62906
c=A dc=+ h=B dh=0 L=B dL=- preo=M,emergencia,1114,0.000082,0.0601,0.0137,6.17521,11.27276
c=B dc=+ h=B dh=- L=B dL=0 preo=A,prop_lenta,1108,0.000000,0.7368,0.1677,3.69410,9.08569
c=M dc=- h=A dh=- L=A dL=- preo=A,emergencia,1091,0.000000,3.9528,0.8995,0.61399,2.56627
c=B dc=0 h=A dh=+ L=A dL=- preo=A,emergencia,1090,0.000000,4.0364,0.9185,0.48746,2.30959
c=B dc=+ h=M dh=+ L=M dL=- preo=M,prop_lenta,1088,0.000027,0.3178,0.0723,4.34138,10.52981
c=B dc=- h=M dh=+ L=M dL=0 preo=M,calma,1088,0.000055,0.7464,0.1699,1.93509,12.00049
c=A dc=0 h=B dh=- L=A dL=+ preo=B,emergencia,1079,0.000000,0.8191,0.1864,2.59337,10.85960
c=M dc=0 h=M dh=+ L=M dL=- preo=M,calma,1077,0.000000,0.0857,0.0195,6.11653,11.60846
c=M dc=+ h=A dh=0 L=B dL=- preo=A,emergencia,1073,0.000027,3.7400,0.8511,1.19652,3.18219
c=B dc=0 h=A dh=+ L=A dL=+ preo=A,emergencia,1072,0.000082,3.5761,0.8138,1.40289,3.49846
c=B dc=0 h=M dh=- L=A dL=+ preo=A,calma,1072,0.000027,1.1619,0.2644,0.59113,9.35201
c=M dc=- h=M dh=- L=M dL=+ preo=M,calma,1067,0.000055,0.1745,0.0397,3.98056,11.97716
c=M dc=- h=B dh=- L=B dL=+ preo=B,calma,1053,0.000000,0.3867,0.0880,3.57975,13.57318
c=M dc=+ h=M dh=- L=A dL=+ preo=B,prop_rapida,1052,0.000000,0.5100,0.1161,3.08623,12.11835
c=B dc=0 h=M dh=- L=B dL=- preo=A,calma,1052,0.000000,0.7334,0.1669,2.31409,10.25132
c=B dc=- h=A dh=+ L=B dL=- preo=A,emergencia,1051,0.000027,3.7202,0.8466,1.24971,3.22957
c=B dc=0 h=M dh=- L=A dL=- preo=B,calma,1051,0.000027,0.3100,0.0706,3.78488,13.98831
c=B dc=+ h=B dh=0 L=B dL=0 preo=B,prop_lenta,1041,0.000000,0.0978,0.0223,5.10278,13.29714
c=B dc=+ h=M dh=+ L=B dL=0 preo=B,prop_lenta,1039,0.000000,0.2817,0.0641,3.75694,12.11196
c=M dc=0 h=M dh=- L=M dL=- preo=M,calma,1038,0.000027,0.3915,0.0891,3.55722,10.50736
c=M dc=+ h=M dh=+ L=M dL=- preo=M,prop_rapida,1035,0.000082,0.0826,0.0188,4.87544,12.49336
c=M dc=0 h=M dh=- L=B dL=- preo=M,calma,1033,0.000000,0.5943,0.1352,1.84840,10.85853
c=B dc=- h=A dh=- L=A dL=0 preo=M,emergencia,1031,0.000110,0.4934,0.1123,2.81191,10.18583
c=M dc=- h=A dh=- L=A dL=0 preo=A,emergencia,1020,0.000000,3.9231,0.8927,0.94753,2.73218
c=M dc=+ h=A dh=- L=B dL=- preo=B,emergencia,1014,0.000027,0.4770,0.1085,3.13105,10.65486
c=M dc=0 h=M dh=0 L=M dL=- preo=B,calma,1012,0.000000,0.1484,0.0338,5.92582,12.54207
c=A dc=+ h=A dh=+ L=B dL=- preo=M,emergencia,1011,0.000000,4.0776,0.9279,0.60456,2.49026
c=A dc=+ h=B dh=- L=B dL=0 preo=B,emergencia,1007,0.000000,0.3781,0.0860,3.15700,10.80990
c=M dc=+ h=M dh=+ L=B dL=0 preo=B,prop_rapida,1007,0.000027,0.1731,0.0394,3.82461,13.60490
c=A dc=+ h=A dh=0 L=B dL=- preo=A,emergencia,1005,0.000000,4.3002,0.9785,0.57071,1.69866
c=B dc=+ h=A dh=0 L=M dL=- preo=A,emergencia,1003,0.000082,3.7005,0.8421,0.59822,3.03255
c=B dc=0 h=B dh=- L=B dL=0 preo=B,calma,997,0.000000,0.2681,0.0610,3.50061,14.51647
c=M dc=+ h=B dh=0 L=B dL=- preo=M,prop_rapida,996,0.000082,0.5847,0.1330,2.55687,10.32005
c=A dc=0 h=B dh=+ L=M dL=+ preo=B,emergencia,993,0.000000,0.1791,0.0407,4.15215,12.61204
c=B dc=+ h=A dh=- L=A dL=0 preo=A,emergencia,991,0.000000,3.3784,0.7688,1.12699,3.75644
c=A dc=- h=B dh=0 L=A dL=+ preo=M,emergencia,989,0.000000,0.2327,0.0530,4.63371,10.76965
c=M dc=- h=M dh=+ L=M dL=- preo=B,calma,986,0.000000,0.8401,0.1912,2.27630,11.72120
c=A dc=- h=A dh=- L=A dL=+ preo=B,emergencia,971,0.000000,3.7772,0.8595,0.94074,3.16911
c=A dc=+ h=B dh=+ L=B dL=0 preo=B,emergencia,969,0.000000,0.3279,0.0746,4.35351,10.78357
c=M dc=0 h=M dh=- L=M dL=- preo=B,calma,958,0.000000,0.0720,0.0164,4.89830,14.93557
c=A dc=0 h=A dh=0 L=B dL=+ preo=A,emergencia,958,0.000000,4.3461,0.9890,0.24409,1.10515
c=B dc=+ h=A dh=0 L=M dL=- preo=M,emergencia,956,0.000082,0.6112,0.1391,1.49010,10.40061
c=B dc=+ h=M dh=0 L=M dL=- preo=M,prop_lenta,955,0.000082,0.1915,0.0436,4.73178,10.88271
c=M dc=- h=M dh=+ L=A dL=0 preo=B,calma,951,0.000000,0.0638,0.0145,6.49854,13.29338
c=M dc=+ h=B dh=0 L=A dL=+ preo=B,prop_rapida,946,0.000027,0.4998,0.1137,2.24422,12.82232
c=B dc=+ h=B dh=+ L=M dL=0 preo=B,prop_lenta,940,0.000000,0.0790,0.0180,5.31367,13.40930
c=B dc=+ h=B dh=0 L=B dL=+ preo=B,prop_lenta,934,0.000000,0.1549,0.0353,4.06774,13.50497
c=B dc=0 h=M dh=- L=M dL=+ preo=M,calma,934,0.000000,0.3178,0.0723,3.90343,12.69066
c=M dc=- h=A dh=+ L=A dL=+ preo=B,emergencia,932,0.000000,2.2828,0.5195,1.28587,6.63075
c=A dc=+ h=B dh=+ L=B dL=- preo=A,emergencia,931,0.000082,3.0679,0.6981,2.22741,4.18783
c=A dc=- h=B dh=+ L=A dL=0 preo=A,emergencia,926,0.000000,4.2903,0.9763,0.21230,1.48924
c=B dc=0 h=A dh=0 L=A dL=- preo=A,emergencia,924,0.000000,3.6306,0.8262,1.34011,3.42308
c=M dc=+ h=B dh=0 L=B dL=0 preo=B,prop_rapida,923,0.000000,0.0153,0.0035,8.45960,14.25936
c=A dc=0 h=B dh=0 L=M dL=+ preo=A,emergencia,919,0.000000,4.2995,0.9784,0.41210,1.57606
c=M dc=- h=B dh=- L=M dL=- preo=M,calma,912,0.000027,0.4814,0.1095,2.96472,11.18754
c=A dc=- h=A dh=0 L=A dL=+ preo=B,emergencia,903,0.000000,4.3222,0.9836,0.91984,1.64493
c=M dc=- h=B dh=0 L=A dL=- preo=B,calma,893,0.000027,0.1806,0.0411,4.37032,12.60035
c=A dc=- h=A dh=+ L=B dL=- preo=B,emergencia,891,0.000000,4.2449,0.9660,1.00228,2.18276
c=A dc=0 h=B dh=- L=M dL=+ preo=B,emergencia,880,0.000000,0.1166,0.0265,5.85818,11.87046
c=A dc=- h=A dh=+ L=M dL=+ preo=B,emergencia,879,0.000000,4.3069,0.9801,0.92980,1.81265
c=B dc=- h=B dh=- L=A dL=- preo=M,calma,872,0.000137,0.0198,0.0045,8.06824,14.67816
c=B dc=+ h=M dh=- L=B dL=+ preo=B,prop_lenta,839,0.000000,0.5787,0.1317,2.23353,13.50476
c=A dc=- h=M dh=+ L=A dL=- preo=A,emergencia,838,0.000055,4.3741,0.9954,0.34503,0.67322
c=B dc=0 h=B dh=- L=B dL=- preo=M,calma,837,0.000000,0.0738,0.0168,4.50068,14.55498
c=B dc=+ h=B dh=- L=A dL=- preo=B,prop_lenta,837,0.000000,0.0093,0.0021,8.76255,15.23958
c=B dc=- h=A dh=+ L=M dL=- preo=B,emergencia,827,0.000027,0.0749,0.0171,5.48877,13.53842
c=M dc=- h=B dh=- L=B dL=- preo=B,calma,827,0.000000,0.0330,0.0075,5.98370,15.17651
c=B dc=0 h=B dh=- L=B dL=- preo=A,calma,826,0.000000,0.2775,0.0631,3.67354,10.27476
c=M dc=0 h=B dh=- L=B dL=- preo=M,calma,824,0.000055,0.4794,0.1091,2.77834,10.27862
c=B dc=0 h=A dh=0 L=M dL=+ preo=A,emergencia,824,0.000000,3.4794,0.7918,1.12030,3.54141
c=B dc=+ h=A dh=+ L=B dL=- preo=M,emergencia,823,0.000027,0.1305,0.0297,5.46162,10.83337
c=B dc=- h=B dh=+ L=M dL=- preo=M,calma,822,0.000110,0.2368,0.0539,3.62663,12.97374
c=B dc=+ h=A dh=- L=B dL=0 preo=A,emergencia,821,0.000000,2.3022,0.5239,0.95299,5.10208
c=B dc=- h=B dh=- L=A dL=+ preo=A,calma,821,0.000055,0.3548,0.0807,3.21299,9.12999
c=B dc=- h=M dh=0 L=M dL=0 preo=M,calma,816,0.000027,0.0765,0.0174,4.96209,13.52700
c=B dc=0 h=A dh=+ L=A dL=+ preo=M,emergencia,815,0.000082,0.2573,0.0586,4.18656,9.99142
c=B dc=0 h=A dh=- L=B dL=- preo=B,emergencia,812,0.000000,0.2001,0.0455,3.29475,12.50903
c=B dc=+ h=A dh=- L=A dL=+ preo=B,emergencia,811,0.000000,0.1059,0.0241,4.52932,12.63315
c=A dc=0 h=A dh=0 L=B dL=0 preo=A,emergencia,811,0.000000,4.3651,0.9933,0.35253,0.91937
c=B dc=0 h=A dh=0 L=B dL=- preo=B,emergencia,809,0.000000,0.1940,0.0441,4.49194,11.34749
c=A dc=- h=A dh=- L=A dL=- preo=A,emergencia,806,0.000000,4.2225,0.9609,0.71118,2.14459
c=A dc=- h=M dh=- L=A dL=+ preo=M,emergencia,800,0.000027,0.7140,0.1625,2.49355,8.62650
